ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	PP_INST_DT	Type	BreakYear	BreakDate	ValidBreak	FailureNotes	Failure_ID	BreakAge
5825	6	Cast Iron	1947	unknown	NULL	6	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5826	6	Cast Iron	1947	Cast Iron	1947	6	1	1947-06-24 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5827	6	Cast Iron	1931	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5828	10	Cast Iron	1941	Cast Iron	1941	10	1	1941-06-17 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5829	8	Cast Iron	1930	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5830	10	Cast Iron	1930	Cast Iron	NULL	10	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5831	6	Cast Iron	1927	Cast Iron	1927	6	1	1927-08-06 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5832	8	Ductile Iron	1966	Ductile Iron	1966	8	1	1966-01-15 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5833	4	Ductile Iron	1966	Ductile Iron	1966	4	1	1966-01-15 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5834	2	Galvanized	1966	Galvanized	1966	6	1	1966-01-15 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5835	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5836	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5837	16	Cast Iron	1970	Cast Iron	1970	16	1	1970-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5838	10	Cast Iron	1930	Cast Iron	NULL	10	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
