ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	INSTALLDAT	BreakYear	BreakDate	Failure_ID	BreakAge
149	8	CI	1960	CI	1960	8	1	1960-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
150	8	CI	1974	CI	1974	8	1	1974-07-03 00:00:00.0000000	NULL	NULL	NULL	NULL
151	6	CI	1972	CI	1972	6	1	1972-06-24 00:00:00.0000000	2017	2017-11-14 15:36:51.000	2650	45
152	6	CI	1972	CI	1972	6	1	1972-06-24 00:00:00.0000000	NULL	NULL	NULL	NULL
153	6	CI	1961	CI	1961	6	1	1961-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
154	2	CI	1978	CI	1978	2	0	1978-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
155	12	DI	1975	DI	1975	12	1	1975-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
156	12	CI	1971	CI	1971	12	1	1971-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
157	2	PVC	1989	PVC	1989	2	1	1989-06-28 00:00:00.0000000	2022	2022-10-03 08:26:59.000	2504	33
158	6	PVC	1989	PVC	1989	6	1	1989-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
159	6	PVC	1990	PVC	1990	6	1	1990-06-17 00:00:00.0000000	NULL	NULL	NULL	NULL
160	6	PVC	1990	PVC	1990	6	1	1990-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
161	2	CI	1979	CI	1979	2	1	1979-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
162	2	PVC	1990	PVC	1990	2	1	1990-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
163	12	PVC	1993	PVC	1993	12	1	1993-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
164	18	CSC	1974	CSC	1974	18	1	1974-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
165	2	CI	1979	CI	1979	2	1	1979-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
166	2	CI	1979	CI	1979	2	1	1979-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
167	2	CI	1979	CI	1979	2	1	1979-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
168	6	PVC	1983	PVC	1983	6	1	1983-02-22 00:00:00.0000000	NULL	NULL	NULL	NULL
169	6	CI	1970	CI	1970	6	1	1970-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
170	12	DI	1985	DI	1985	12	1	1985-06-18 00:00:00.0000000	NULL	NULL	NULL	NULL
171	6	PVC	1981	PVC	1981	6	1	1981-03-10 00:00:00.0000000	NULL	NULL	NULL	NULL
172	6	PVC	1985	PVC	1985	6	1	1985-03-06 00:00:00.0000000	NULL	NULL	NULL	NULL
173	6	PVC	1985	PVC	1985	6	1	1985-03-06 00:00:00.0000000	NULL	NULL	NULL	NULL
174	6	PVC	1985	PVC	1985	6	1	1985-03-06 00:00:00.0000000	NULL	NULL	NULL	NULL
175	6	PVC	1985	PVC	1985	6	1	1985-03-06 00:00:00.0000000	NULL	NULL	NULL	NULL
176	24	PVC	1988	PVC	1988	24	0	1988-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
177	12	CI	1966	CI	1966	12	1	1966-12-31 00:00:00.0000000	NULL	NULL	NULL	NULL
178	12	CI	1966	CI	1966	12	1	1966-12-31 00:00:00.0000000	NULL	NULL	NULL	NULL
179	12	CI	1966	CI	1966	12	1	1966-12-31 00:00:00.0000000	NULL	NULL	NULL	NULL
180	2	CI	1956	CI	1956	2	1	1956-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
181	8	PVC	1999	PVC	1999	8	1	1999-12-22 00:00:00.0000000	NULL	NULL	NULL	NULL
182	8	PVC	1999	PVC	1999	8	1	1999-12-22 00:00:00.0000000	NULL	NULL	NULL	NULL
183	8	PVC	1999	PVC	1999	8	1	1999-06-21 00:00:00.0000000	NULL	NULL	NULL	NULL
184	2	CI	1950	CI	1950	2	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
185	8	CI	1970	CI	1970	8	1	1970-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
186	8	PVC	1996	PVC	1996	8	1	1996-06-18 00:00:00.0000000	NULL	NULL	NULL	NULL
187	8	CI	1970	CI	1970	8	1	1970-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
188	6	PVC	1982	PVC	1982	6	1	1982-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
189	12	PVC	1990	PVC	1990	12	1	1990-04-08 00:00:00.0000000	NULL	NULL	NULL	NULL
190	12	PVC	1990	PVC	1990	12	1	1990-04-08 00:00:00.0000000	2017	2017-08-29 08:23:02.000	1737	27
190	12	PVC	1990	PVC	1990	12	1	1990-04-08 00:00:00.0000000	2018	2018-08-29 19:11:55.000	1738	28
191	2	PVC	1984	PVC	1984	2	1	1984-07-09 00:00:00.0000000	NULL	NULL	NULL	NULL
192	2	CI	1972	CI	1972	2	1	1972-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
193	6	CI	1960	CI	1960	6	1	1960-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
194	12	CI	1966	CI	1966	12	1	1966-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
195	12	CI	1966	CI	1966	12	1	1966-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
196	12	CI	1966	CI	1966	12	1	1966-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL
