ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Failure_ID	BreakAge
60102	6	CI	1900	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60103	6	DI	1990	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60104	6	DI	1990	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60105	6	DI	1976	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60106	6	DI	1972	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60107	6	DI	1972	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60108	12	DI	1978	DI	NULL	12	0	NULL	NULL	NULL	NULL	NULL
60109	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60110	12	DI	1978	CI	NULL	12	0	NULL	NULL	NULL	NULL	NULL
60111	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60112	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60113	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60114	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60115	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60116	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60117	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60118	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60119	12	DI	1976	DI	NULL	12	0	NULL	NULL	NULL	NULL	NULL
60120	6	DI	1976	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60121	6	DI	1976	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60122	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60123	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60124	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60125	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60126	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60127	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60128	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60129	6	DI	1975	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60130	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60131	6	DI	1994	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60132	6	DI	1994	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60133	6	DI	1994	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60134	6	DI	1994	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60135	6	DI	1994	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60136	6	DI	1994	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60137	6	DI	1994	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60138	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60139	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60140	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60141	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60142	8	DI	1978	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
60143	8	DI	1978	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
