ID	Diameter	Material	InstallYear	OrgMaterial	OrgDiameter	Status	INSTALL_DATE	BreakYear	BreakDate	Failure_ID	BreakAge
67796	6	DI	1999	DI	6	1	1999	NULL	NULL	NULL	NULL
67797	6	DI	1991	DI	6	1	1991	NULL	NULL	NULL	NULL
67798	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67800	6	AC	1953	AC	6	1	1953	NULL	NULL	NULL	NULL
67804	2	GA	1947	GA	2	1	1947	NULL	NULL	NULL	NULL
67805	6	CI	1947	CI	6	1	1947	NULL	NULL	NULL	NULL
67806	6	DI	1987	DI	6	1	1987	NULL	NULL	NULL	NULL
67807	6	AC	1947	AC	6	1	1947	NULL	NULL	NULL	NULL
67811	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67814	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67815	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67816	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67817	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67818	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67819	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67820	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67821	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67822	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67824	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67827	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67829	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67831	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67833	6	AC	1970	AC	6	1	1970	NULL	NULL	NULL	NULL
67834	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67835	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67836	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67837	6	DI	1999	DI	6	1	1999	NULL	NULL	NULL	NULL
67838	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67839	6	DI	1999	DI	6	1	1999	NULL	NULL	NULL	NULL
67840	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67841	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67842	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67843	8	DI	1999	DI	8	1	1999	NULL	NULL	NULL	NULL
67847	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67850	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67854	6	CI	1951	CI	6	1	1951	NULL	NULL	NULL	NULL
67855	2	GA	1954	GA	2	1	1954	NULL	NULL	NULL	NULL
67856	6	CI	1971	CI	6	1	1971	NULL	NULL	NULL	NULL
67857	6	CI	1971	CI	6	1	1971	NULL	NULL	NULL	NULL
67864	6	CI	1947	DI	6	1	1947	NULL	NULL	NULL	NULL
67865	6	CI	1947	DI	6	1	1947	NULL	NULL	NULL	NULL
67866	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67867	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67868	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67869	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67870	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67871	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67872	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67873	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67874	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67875	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67876	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67877	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67878	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67879	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67880	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67881	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67882	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67883	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67884	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67885	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67886	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67887	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67888	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67889	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67890	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67891	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
67892	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67893	6	DI	2007	DI	6	1	2007	NULL	NULL	NULL	NULL
67894	8	DI	2007	DI	8	1	2007	NULL	NULL	NULL	NULL
