ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Description	Failure_ID	BreakAge
42588	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42593	6	PVC	2020	PVC	2020	6	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42609	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42622	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42625	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42632	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42635	4	PVC	2020	PVC	2020	4	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42648	4	PVC	2020	PVC	2020	4	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41993	6	DI	2019	DI	2019	6	1	2019-11-18 00:00:00.0000000	2019	2019-08-15 11:25:00.000	Water Main Leak	2926	0
41997	6	DI	2019	DI	2019	6	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41999	12	PVC	2019	PVC	2019	12	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42005	12	DI	2019	DI	2019	12	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42011	4	DI	2019	DI	2019	4	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42018	12	DI	2019	DI	2019	12	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42022	12	PVC	2019	PVC	2019	12	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42028	16	DI	2019	DI	2019	16	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42032	16	DI	2019	DI	2019	16	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42048	16	DI	2019	DI	2019	16	1	2019-11-18 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43926	8	PVC	2018	PVC	2018	8	1	2018-05-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43931	4	PVC	2021	PVC	2021	4	1	2021-04-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43950	4	PVC	2021	PVC	2021	4	1	2021-04-19 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43959	2	BRASS	2021	BRASS	2021	2	0	2021-04-19 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43965	8	PVC	2021	PVC	2021	8	1	2021-04-19 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43970	8	PVC	2021	PVC	2021	8	1	2021-04-19 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43980	8	PVC	2021	PVC	2021	8	1	2021-04-19 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43994	8	PVC	2021	PVC	2021	8	1	2021-04-19 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
